name,f1,recall,precision,auc_roc,auc_pr,threshold
RF | Balanced,0.7103448275862069,0.7152777777777778,0.7054794520547946,0.9564285029710562,0.7389841864700156,0.31125
XGB | scale=12 depth6,0.688,0.5972222222222222,0.8113207547169812,0.9417649032010734,0.7085813240947543,0.8009805083274841
XGB | scale=16 depth7,0.6872586872586872,0.6180555555555556,0.7739130434782608,0.947850776308223,0.7269110462849614,0.7874900102615356
XGB | scale=8 depth5,0.6792452830188679,0.625,0.743801652892562,0.9388617340745,0.6893799599319501,0.7346501350402832
